,timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
542,1578182400,695953822,5138465.903721205,1048269.29698103,3036607.1077905344,53394636.218810394
543,1578096000,690193321,5114437.354575769,1091529.6634601299,3036125.7458998556,52377348.708646126
544,1578009600,663925112,5156299.409754584,1053186.98333685,3003957.3067879337,51760071.23997756
545,1577923200,692400938,5211900.173127588,1013382.5629633301,2992659.0397971766,50825034.8848905
546,1577836800,676717561,5158301.402545926,1013519.53047116,2961905.532945532,49914667.525572695
547,1577750400,680475682,5126380.006026819,976369.33943711,2947136.538917102,48179581.02490834
548,1577664000,698065610,5130948.989342152,1036652.7819196599,2961749.8102374766,49433240.4733049
549,1577577600,674221588,5208355.256855929,1118118.0892593502,2931802.561388571,48265316.22874178
550,1577491200,666694019,5233898.720364265,1123510.49650093,2917857.885883755,48398188.19866405
551,1577404800,659547657,5220418.3710622145,1090611.2275008298,2917381.5508428398,46152202.00020936
552,1577318400,663529181,5256925.85168753,1065464.79492931,2924736.01259425,45799119.91416151
553,1577232000,667893479,5181083.53890311,1043371.3501516,2917775.5153326746,45217120.06460618
554,1577145600,670107854,5200278.239950334,995114.5505826,2904074.5703945733,44616777.280152746
555,1577059200,689632720,5184428.8076980915,1062064.3168214199,2925979.233303487,42852152.01542481
556,1576972800,674653457,5193637.082371055,1012990.9381528599,2917357.4316141317,42054182.99950276
557,1576886400,671527951,5187947.705500618,1009663.29908189,2915729.5907741846,42316950.88400394
558,1576800000,656370290,5084988.301828323,983285.69076984,2948645.939629776,35040761.096178144
559,1576713600,666466102,4995997.766116942,1020110.7176933901,2877287.801479101,33726712.26692621
560,1576627200,615615812,5016017.37146582,1010789.53503658,2888025.4790034397,31241962.19177061
561,1576540800,650126298,4843736.388019669,997189.24890321,2825998.6291852165,31849185.685899414
562,1576454400,665651980,4622262.20401361,1009790.98198859,2752313.5197115834,30554295.082109265
563,1576368000,664338063,4624699.359554473,988221.4079617399,2752371.666492578,30078949.12663601
564,1576281600,669021957,4589887.191273327,888201.03606103,2747316.2143001603,29636764.300560277
565,1576195200,661880240,4532805.369127517,1051773.19160729,2745124.435459605,29254825.13024478
566,1576108800,660212563,4555074.94825445,1041680.15283605,2733272.716635426,29301970.542200692
567,1576022400,656529979,4469230.6262763785,1105007.99770099,2730922.165689321,24951618.542865492
568,1575936000,671391678,4534898.196555217,1125971.49711708,2747764.4666311634,23936678.501917906
569,1575849600,673970515,4430810.038787719,1134015.46999834,2731838.33556833,22593653.06302716
570,1575763200,667117594,4474296.40509725,1091126.4597848,2723253.013664245,21328561.15500041
571,1575676800,659436688,4414195.648972489,1071684.89523766,2686090.8568588644,21511780.144079532
572,1575590400,651882388,4382991.91824111,1059602.81311205,2695374.0090852464,18560214.386498563
573,1575504000,647348139,4428128.729735277,1050325.34153875,2681642.4958029,16624254.930215554
574,1575417600,662769216,4467605.096056622,58797.862052419994,2679034.5642275694,15506736.016388299
575,1575331200,656739483,4381768.634907925,60434.150570109996,2661296.0837644553,17011940.503742985
576,1575244800,653707324,4304670.907414724,60838.152282459996,2647494.6792581533,17752255.10935478
577,1575158400,672510175,4395204.071629305,59445.66480985,2657714.3306153235,17907539.44975234
578,1575072000,676374868,4348279.44712311,55729.091866790004,2646640.8839071584,11089682.905888323
579,1574985600,667322820,4394039.770856653,58132.283960400004,2661638.3556826487,13108250.204311283
580,1574899200,675983649,4384948.423715619,52930.30305086,2698382.7707342706,12365657.767592646
581,1574812800,651299662,4375543.580786025,53512.032603809996,2695808.8351686634,11211741.669497512
582,1574726400,644297465,4381783.630304679,45536.951759020005,2698449.4887438626,11667539.73621257
583,1574640000,610085340,4302435.401974613,46096.82427248,2640813.109325308,13138802.347058902
584,1574553600,636495483,4131477.885239517,44155.261750130005,2628271.5557492934,12763778.788264537
585,1574467200,621024794,4109209.2503142995,46072.04876666,2635761.4875789937,10231593.690635469
586,1574380800,626694623,3877101.107399159,46196.007275489996,2578923.9266989273,7647611.238875157
587,1574294400,663539780,3775260.468821119,45694.60498176,2539026.4713245784,7807557.915411593
